id,x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
alessandra,-4,80,-243,-246,37,21,1
alessandra,-4,82,-242,-247,37,22,1
alessandra,-4,83,-242,-247,37,23,1
alessandra,-4,85,-241,-246,38,23,1
alessandra,-4,85,-242,-247,37,23,1
alessandra,-3,85,-241,-247,38,24,1
alessandra,-4,84,-242,-247,37,25,1
alessandra,-4,85,-241,-246,37,26,1
alessandra,-4,85,-241,-246,37,26,1
alessandra,-5,89,-240,-246,38,27,1
alessandra,-7,89,-239,-246,38,27,1
alessandra,-5,90,-238,-246,37,27,1
alessandra,-6,87,-240,-246,38,27,1
alessandra,-6,88,-240,-246,38,28,1
alessandra,-6,87,-240,-246,38,28,1
alessandra,-5,88,-240,-246,38,27,1
alessandra,-6,85,-241,-246,38,28,1
alessandra,-6,87,-241,-246,37,27,1
alessandra,-12,99,-233,-246,37,29,1
alessandra,-9,95,-236,-246,38,29,1
alessandra,-6,88,-239,-246,38,29,1
alessandra,-6,91,-238,-246,38,29,1
alessandra,-6,90,-239,-246,38,29,1
alessandra,-6,92,-238,-246,38,29,1
alessandra,-6,91,-239,-246,38,29,1
alessandra,-6,91,-238,-246,38,29,1
alessandra,-6,92,-238,-246,38,29,1
alessandra,-6,91,-238,-246,38,28,1
alessandra,-6,90,-239,-246,37,29,1
alessandra,-6,91,-239,-246,37,28,1
alessandra,-6,90,-239,-246,38,29,1
alessandra,-6,90,-239,-246,38,29,1
alessandra,-5,94,-237,-246,38,29,1
alessandra,-5,95,-235,-246,38,29,1
alessandra,-6,90,-238,-246,38,29,1
alessandra,-6,93,-236,-246,38,29,1
alessandra,-5,95,-236,-246,38,29,1
alessandra,-6,91,-238,-246,38,29,1
alessandra,-6,91,-238,-245,38,29,1
alessandra,-9,90,-237,-246,38,29,1
alessandra,-9,95,-236,-246,38,29,1
alessandra,-6,95,-236,-246,38,29,1
alessandra,-7,92,-237,-246,38,29,1
alessandra,-8,97,-235,-246,38,29,1
alessandra,-7,99,-234,-246,38,29,1
alessandra,-7,93,-237,-246,38,29,1
alessandra,-7,95,-236,-246,38,29,1
alessandra,-7,92,-237,-246,38,29,2
alessandra,-6,94,-236,-246,38,29,2
alessandra,-6,98,-234,-246,38,29,2
alessandra,-6,96,-235,-246,38,29,2
alessandra,-6,93,-237,-246,38,29,2
alessandra,-6,95,-236,-246,38,29,2
alessandra,-25,68,-239,-235,28,25,2
alessandra,-6,82,-247,-253,25,46,2
alessandra,3,65,-246,-248,29,10,2
alessandra,-7,92,-238,-246,33,34,2
alessandra,0,94,-237,-244,25,36,2
alessandra,-5,87,-239,-249,30,40,2
alessandra,0,106,-230,-246,34,29,2
alessandra,-4,106,-245,-246,27,-14,2
alessandra,4,101,-233,-247,32,-1,2
alessandra,-4,67,-247,-246,35,19,2
alessandra,-5,92,-237,-245,36,28,2
alessandra,2,92,-238,-242,38,58,2
alessandra,1,91,-238,-241,38,62,2
alessandra,1,91,-239,-241,38,62,2
alessandra,2,91,-238,-241,38,63,2
alessandra,2,92,-238,-241,38,63,2
alessandra,2,92,-238,-241,38,64,2
alessandra,2,93,-237,-239,38,70,2
alessandra,2,93,-238,-239,38,70,2
alessandra,2,92,-238,-239,38,70,2
alessandra,3,92,-238,-239,38,70,2
alessandra,2,92,-238,-239,39,71,2
alessandra,3,91,-238,-239,38,71,2
alessandra,2,92,-237,-239,39,71,2
alessandra,3,93,-237,-239,38,72,2
alessandra,3,91,-238,-239,38,72,2
alessandra,3,93,-237,-239,38,72,2
alessandra,3,92,-237,-238,38,71,2
alessandra,4,93,-237,-238,38,72,2
alessandra,2,93,-237,-239,38,72,2
alessandra,2,93,-237,-238,38,71,2
alessandra,3,94,-237,-238,38,72,2
alessandra,2,94,-237,-238,38,72,2
alessandra,2,96,-235,-239,38,71,2
alessandra,2,96,-236,-239,38,71,2
alessandra,2,96,-236,-239,38,71,2
alessandra,2,96,-236,-239,38,71,2
alessandra,2,96,-236,-239,38,71,2
alessandra,3,95,-236,-244,37,43,2
alessandra,2,95,-236,-231,38,98,2
alessandra,1,95,-236,-231,38,99,2
alessandra,1,93,-237,-231,38,99,2
alessandra,2,95,-236,-230,38,100,2
alessandra,2,93,-237,-230,37,100,2
alessandra,2,95,-236,-230,38,100,2
alessandra,1,92,-238,-230,38,100,2
alessandra,2,96,-236,-230,38,101,2
alessandra,2,95,-237,-230,38,101,2
alessandra,2,95,-236,-229,38,101,2
alessandra,2,92,-238,-229,38,101,2
alessandra,3,95,-236,-229,38,101,2
alessandra,2,93,-237,-229,38,101,2
alessandra,3,96,-236,-229,38,103,2
alessandra,3,95,-236,-229,37,103,3
alessandra,3,95,-237,-228,38,104,3
alessandra,-9,79,-246,-231,37,107,3
alessandra,-29,92,-242,-251,3,31,3
alessandra,13,94,-240,-217,-63,-60,3
alessandra,-5,62,-249,-242,23,-38,3
alessandra,-5,58,-249,-242,20,-41,3
alessandra,-10,71,-246,-249,28,13,3
alessandra,-20,7,-256,-220,26,-50,3
alessandra,0,97,-237,-242,38,54,3
alessandra,-3,87,-240,-228,37,105,3
alessandra,-1,87,-240,-226,38,109,3
alessandra,-3,87,-240,-226,38,111,3
alessandra,-3,87,-241,-226,38,111,3
alessandra,-4,88,-240,-226,38,111,3
alessandra,-6,85,-241,-225,38,111,3
alessandra,-8,86,-240,-225,38,112,3
alessandra,-5,86,-240,-225,38,113,3
alessandra,-5,87,-240,-225,38,113,3
alessandra,-5,86,-240,-225,38,113,3
alessandra,-5,86,-240,-224,38,114,3
alessandra,-6,85,-241,-224,38,115,3
alessandra,-5,86,-241,-224,38,115,3
alessandra,-5,86,-241,-224,38,115,3
alessandra,-5,85,-241,-223,38,115,3
alessandra,-6,86,-241,-224,38,115,3
alessandra,-5,86,-241,-223,38,115,3
alessandra,-6,84,-241,-224,38,116,3
alessandra,-6,86,-241,-219,38,123,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,86,-241,-217,37,128,3
alessandra,-6,85,-241,-217,37,128,3
alessandra,-7,85,-241,-217,36,129,3
alessandra,-7,86,-241,-217,37,129,3
alessandra,-7,84,-241,-217,37,129,3
alessandra,-7,85,-241,-217,37,129,3
alessandra,-8,85,-241,-217,37,129,3
alessandra,-7,85,-241,-217,36,129,3
alessandra,-7,85,-241,-217,37,129,3
alessandra,-8,84,-241,-217,37,129,3
alessandra,-7,86,-240,-217,37,129,3
alessandra,-7,85,-241,-217,37,129,3
alessandra,-6,86,-241,-217,36,129,3
alessandra,-5,86,-240,-217,37,129,3
alessandra,-4,88,-240,-217,37,129,3
alessandra,-6,86,-240,-217,37,129,3
alessandra,-6,86,-240,-216,37,129,3
alessandra,-6,85,-241,-216,36,129,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,85,-241,-216,36,130,3
alessandra,-7,86,-241,-216,37,130,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,86,-241,-216,36,130,3
alessandra,-6,83,-241,-216,36,130,3
alessandra,-6,85,-241,-216,37,130,3
alessandra,-6,86,-240,-216,36,130,3
alessandra,-7,86,-240,-216,36,130,3
alessandra,-7,87,-240,-216,37,130,3
alessandra,-8,86,-241,-216,37,130,3
alessandra,-8,86,-240,-216,36,130,4
alessandra,-7,96,-234,-215,36,132,4
alessandra,3,41,-258,-240,32,39,4
alessandra,10,-55,-253,-248,16,-17,4
alessandra,32,-98,-237,-228,-8,-67,4
alessandra,35,-187,-151,-91,-117,-173,4
alessandra,75,-242,10,-10,-107,-225,4
alessandra,31,-196,152,217,-47,-101,4
alessandra,-2,-195,165,242,16,-29,4
alessandra,-22,-177,186,250,8,-40,4
alessandra,-9,-191,168,238,14,-35,4
alessandra,0,-204,152,247,-18,-13,4
alessandra,0,-204,152,245,-17,-28,4
alessandra,0,-205,151,245,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-207,147,245,-18,-26,4
alessandra,0,-205,151,245,-17,-27,4
alessandra,0,-206,149,246,-17,-26,4
alessandra,0,-204,153,246,-17,-27,4
alessandra,0,-207,149,246,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,0,-206,150,246,-17,-27,4
alessandra,0,-206,149,245,-17,-27,4
alessandra,1,-204,152,245,-17,-26,4
alessandra,0,-207,148,246,-17,-26,4
alessandra,1,-205,150,245,-17,-26,4
