x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
35,-244,20,-32,-245,11,1
5,-246,-45,-22,-246,14,1
-14,-242,-69,-20,-246,16,1
-19,-247,-31,-23,-246,18,1
-14,-249,-26,-22,-246,21,1
-10,-248,-40,-21,-246,21,1
-12,-244,-61,-22,-246,25,1
-11,-244,-60,-21,-246,23,1
-12,-241,-67,-23,-245,23,1
-11,-240,-73,-24,-246,26,1
-5,-243,-66,-22,-245,21,1
-12,-244,-58,-17,-246,28,1
-23,-242,-57,-20,-246,20,1
7,-242,-67,4,-246,-14,1
8,-238,-38,4,-247,-2,1
8,-254,20,-16,-247,10,1
24,-248,13,-19,-246,22,1
14,-228,108,0,-247,18,1
23,-250,6,7,-247,-5,1
11,-251,26,12,-247,8,1
9,-244,44,0,-248,14,1
-35,-238,56,12,-249,3,1
-42,-235,64,11,-243,-12,1
-15,-233,95,-6,-248,37,1
-89,-221,84,-4,-247,-23,1
-82,-222,86,-12,-247,-25,1
-55,-231,66,-9,-245,-8,1
154,-121,169,53,-251,-1,1
157,-182,20,8,-247,-10,1
35,-219,-130,-190,-137,14,1
36,-225,-89,-247,8,22,1
0,20,-273,-238,12,-1,1
8,45,-252,-227,15,50,1
10,37,-255,-243,17,62,1
6,25,-256,-241,-10,67,1
-9,-3,-260,-237,11,56,1
1,24,-256,-233,12,58,1
1,35,-255,-238,13,83,1
2,35,-255,-236,13,92,1
2,33,-256,-235,12,93,1
3,37,-254,-236,12,93,1
3,37,-255,-236,12,92,1
3,33,-255,-236,13,92,1
3,35,-255,-236,12,93,1
7,46,-253,-249,17,21,1
6,42,-253,-245,15,54,1
6,42,-253,-244,15,61,1
6,40,-254,-243,15,65,1
5,42,-253,-243,14,66,1
2,44,-253,-243,14,66,1
2,42,-254,-243,14,67,1
5,39,-254,-242,14,67,1
5,39,-254,-242,14,68,1
5,38,-254,-242,14,69,1
5,39,-254,-242,14,68,1
5,39,-254,-242,14,67,1
