x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
24,-222,122,-14,-247,5,1
25,-221,123,-18,-247,6,1
25,-228,108,-27,-246,12,1
38,-225,112,-28,-246,11,1
-62,-213,122,-20,-246,-11,1
-10,-227,109,-9,-247,7,1
-84,-231,14,-14,-246,20,1
-36,-237,-40,32,-243,-3,1
57,-231,152,-18,-225,-113,1
12,-224,110,-10,-221,-107,1
55,-207,83,-4,-220,-106,1
-105,-209,58,25,-228,-91,1
31,-219,-119,-98,-228,-57,1
-15,-209,-140,-182,-151,88,1
-40,-188,-165,-182,-152,90,1
2,-222,-125,-207,-124,72,1
-17,-224,-129,-202,-146,92,1
13,-198,-157,-196,-128,115,1
9,-192,-166,-194,-120,114,1
38,-181,-178,-198,-117,104,1
52,-173,-184,-203,-121,94,1
46,-180,-175,-203,-126,84,1
15,-214,-131,-193,-149,53,1
50,-212,-128,-199,-117,111,1
0,-186,-161,-219,-96,78,1
-23,-185,-175,-227,-86,79,1
19,10,-262,-236,-88,47,1
11,110,-228,-234,-85,45,1
1,89,-239,-239,-70,42,1
0,106,-230,-239,-70,43,1
2,104,-231,-249,13,21,1
9,104,-230,-248,13,37,1
3,119,-223,-248,10,1,1
5,109,-227,-248,10,-9,1
5,91,-239,-248,14,-13,1
1,94,-237,-251,15,14,1
0,96,-235,-250,15,19,1
0,97,-235,-249,16,19,1
0,97,-234,-249,15,19,1
0,98,-234,-249,15,19,1
0,98,-234,-249,16,19,1
0,98,-234,-249,16,18,1
0,99,-234,-250,15,17,1
0,95,-236,-249,15,17,1
0,99,-234,-249,16,18,1
0,98,-234,-249,16,18,1
0,98,-234,-249,16,18,1
0,99,-233,-249,16,18,1
0,99,-233,-250,16,18,1
0,100,-233,-249,15,17,1
0,99,-233,-249,16,17,1
0,99,-233,-249,16,17,1
0,99,-234,-250,15,17,1
0,100,-234,-249,16,17,1
0,98,-235,-250,16,17,1
0,98,-234,-250,16,17,1
0,99,-234,-249,16,17,1
0,99,-233,-249,16,17,1
0,99,-233,-249,15,17,1
0,100,-233,-249,16,17,1
0,100,-234,-249,16,17,1
0,100,-233,-249,16,18,1
0,99,-233,-250,16,17,1
0,100,-233,-249,16,17,1
0,100,-233,-250,15,17,1
0,100,-233,-250,16,18,1
0,100,-232,-249,16,17,1
0,101,-232,-249,16,17,1
0,100,-233,-250,15,18,1
0,100,-233,-249,16,18,1
0,101,-232,-250,16,17,1
0,100,-233,-249,16,18,1
0,101,-232,-249,16,18,1
0,100,-233,-249,16,18,1
0,100,-233,-250,16,18,1
0,101,-232,-249,16,18,1
0,100,-233,-250,16,18,1
0,101,-233,-249,15,18,1
0,102,-232,-249,16,18,1
0,101,-232,-249,16,18,1
0,102,-232,-249,16,18,1
0,103,-232,-249,16,19,2
-2,103,-231,-249,16,20,2
-1,103,-232,-249,16,21,2
