x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
5,66,-247,-249,1,-18,1
0,77,-244,-249,1,-14,1
-2,68,-247,-249,1,-12,1
-3,67,-248,-249,1,-12,1
-2,66,-247,-249,2,-12,1
-2,62,-248,-249,1,-11,1
-3,62,-249,-249,1,-11,1
-3,59,-250,-249,2,-10,1
-3,65,-250,-249,2,-11,1
-3,69,-247,-249,1,-10,1
-2,69,-245,-249,1,-10,1
-4,68,-249,-250,2,-10,1
-1,65,-248,-249,1,-10,1
-2,60,-249,-249,1,-11,1
-3,64,-248,-249,1,-11,1
-2,64,-248,-249,2,-11,1
-2,65,-248,-249,2,-11,1
-4,64,-248,-249,2,-11,1
-3,65,-248,-249,1,-11,1
-2,65,-248,-249,2,-10,1
-2,65,-247,-249,1,-11,1
-2,66,-247,-249,2,-11,1
-3,67,-247,-250,2,-11,1
-4,68,-247,-249,1,-11,1
-6,60,-249,-249,2,-11,1
-6,67,-247,-249,1,-10,1
-5,69,-247,-249,2,-11,1
-4,69,-246,-249,1,-11,1
-4,70,-247,-249,1,-11,1
-4,69,-247,-249,2,-12,1
-2,67,-248,-249,1,-12,1
-2,64,-247,-249,1,-11,1
-3,69,-246,-249,2,-10,1
-2,74,-245,-249,2,-10,1
-4,70,-246,-249,2,-10,1
-5,72,-245,-250,2,-9,1
-5,70,-247,-249,2,-9,1
-4,71,-246,-249,2,-10,1
-5,70,-246,-249,2,-10,1
-6,72,-246,-249,2,-10,1
-7,70,-246,-249,1,-10,1
-5,70,-247,-249,2,-10,1
-5,74,-246,-249,2,-10,1
-7,78,-243,-249,2,-10,1
-6,81,-242,-249,2,-10,1
-9,79,-244,-249,2,-10,1
-7,79,-243,-249,2,-10,2
-8,80,-243,-249,2,-10,2
-6,79,-243,-249,2,-10,2
-6,78,-243,-249,2,-10,2
-6,78,-244,-249,2,-10,2
-1,79,-248,-250,2,-10,2
5,77,-245,-220,-89,-38,2
-2,87,-241,-171,-121,-112,2
11,92,-237,-150,-90,-176,2
-7,85,-244,-236,-33,-76,2
203,56,-147,-105,-93,-208,2
5,85,-241,-224,-73,-79,2
1,85,-241,-221,-71,-87,2
13,69,-246,-234,-67,-63,2
18,79,-244,-208,-51,-104,2
1,39,-248,-205,-59,-127,2
4,94,-230,-198,-41,-137,2
-4,64,-248,-245,-3,-47,2
-3,82,-242,-244,-4,-51,2
-13,64,-248,-245,-4,-48,2
-9,80,-241,-244,-3,-48,2
-14,82,-241,-245,-3,-43,2
-14,75,-244,-246,-3,-42,2
-14,78,-242,-246,-2,-42,2
-14,76,-243,-246,-2,-41,2
-13,76,-244,-246,-2,-42,2
-11,73,-245,-246,-2,-40,2
-12,81,-243,-246,-1,-39,2
-5,72,-246,-246,-1,-38,2
-6,72,-246,-246,-1,-38,2
-7,71,-246,-246,-1,-38,2
-5,73,-246,-247,-1,-39,2
-7,76,-244,-245,-3,-46,2
-7,70,-246,-246,-2,-44,2
-9,70,-247,-246,-2,-44,2
-11,65,-248,-246,-2,-43,2
-15,66,-247,-246,-1,-42,2
-15,70,-246,-245,-2,-42,2
-14,75,-245,-246,-1,-42,2
-12,79,-243,-246,-1,-40,2
