x_chest;y_chest;z_chest;x_ankle;y_ankle;z_ankle;position
182;-157;-92;-170;-26;-181;1
168;-128;-150;-198;-46;-124;1
70;-89;-233;-164;-59;176;1
7;45;-254;-241;-8;68;1
3;88;-240;-232;-4;99;1
15;76;-245;-229;-3;108;1
28;40;-242;-241;-3;67;1
0;68;-251;-220;3;130;1
9;75;-247;-232;9;102;1
22;88;-240;-220;3;125;1
18;92;-238;-225;4;117;1
17;81;-242;-226;4;114;1
15;80;-243;-225;4;116;1
15;78;-244;-225;4;116;1
15;76;-245;-225;5;116;1
14;76;-244;-224;5;117;1
5;75;-245;-223;6;121;1
7;77;-244;-223;6;120;1
9;76;-244;-223;6;119;1
11;78;-244;-224;6;119;1
10;78;-243;-224;5;119;1
8;79;-243;-220;7;126;1
9;79;-244;-216;7;131;1
9;77;-244;-216;7;132;1
10;75;-245;-216;7;131;1
10;76;-245;-216;7;132;1
10;76;-245;-216;7;132;1
10;76;-245;-216;7;132;1
10;76;-245;-216;7;132;1
8;76;-245;-216;7;132;1
9;76;-245;-216;8;132;1
9;75;-245;-215;8;132;1
9;76;-245;-216;7;132;1
8;77;-245;-215;7;132;1
6;75;-245;-215;8;132;1
4;81;-243;-215;8;132;1
7;79;-244;-215;7;132;1
7;78;-244;-215;7;132;1
7;80;-243;-215;7;132;1
7;81;-243;-215;8;132;1
7;82;-242;-216;8;132;1
7;82;-243;-215;8;132;1
7;82;-242;-215;7;132;1
7;83;-242;-215;7;132;1
7;82;-242;-215;7;132;1
7;83;-242;-215;8;132;1
8;83;-242;-215;7;132;1
7;83;-242;-215;7;132;1
8;81;-243;-216;7;132;1
8;82;-243;-216;7;133;1
8;83;-242;-215;7;132;1
8;83;-242;-215;8;132;1
8;83;-242;-216;8;133;1
9;83;-242;-215;8;133;1
8;84;-242;-215;8;132;1
8;84;-242;-216;7;132;2
9;84;-241;-217;6;133;2
32;-49;-246;-234;-1;94;2
15;48;-253;-213;-2;138;2
19;55;-250;-217;0;131;2
18;58;-249;-217;0;132;2
20;60;-249;-216;0;133;2
20;60;-249;-216;0;133;2
20;61;-248;-216;-1;134;2
20;62;-248;-215;0;134;2
20;62;-248;-216;0;133;2
20;62;-248;-215;0;134;2
20;62;-248;-216;0;133;2
20;62;-248;-215;0;133;2
20;62;-248;-216;0;133;2
20;62;-248;-216;0;134;2
20;62;-248;-216;0;134;2
20;62;-248;-216;0;133;2
20;62;-249;-216;0;134;2
20;62;-248;-216;0;134;2
20;62;-248;-216;0;133;2
20;62;-248;-216;0;134;2
20;62;-249;-216;0;134;2
19;62;-248;-216;0;134;2
20;62;-249;-216;0;134;2
19;62;-248;-216;0;134;2
20;62;-248;-216;0;134;2
19;62;-248;-216;0;133;2
20;62;-248;-216;0;134;2
19;62;-248;-215;0;134;2
19;62;-248;-216;0;134;2
20;62;-249;-215;0;134;2
19;62;-248;-216;0;134;2
20;62;-248;-216;0;134;2
19;62;-248;-216;0;134;2
20;62;-248;-216;0;134;2
19;62;-249;-216;-1;134;2
20;62;-248;-216;0;134;2
19;62;-248;-216;0;134;2
20;62;-248;-216;0;134;2
22;61;-248;-216;0;134;2
23;62;-248;-216;0;134;2
22;62;-248;-216;0;134;2
22;62;-248;-216;0;134;2
22;62;-248;-216;0;134;2
22;62;-248;-216;0;134;2
22;62;-248;-216;0;134;2
24;62;-248;-216;0;134;2
24;62;-248;-216;0;134;2
24;62;-248;-216;0;134;2
24;61;-248;-216;0;134;2
25;61;-248;-216;0;134;2
24;62;-248;-216;0;133;2
25;62;-248;-216;0;134;2
25;62;-248;-216;0;134;2
25;61;-248;-215;0;134;2
25;62;-248;-216;0;134;2
24;62;-248;-216;0;134;2
25;61;-248;-216;0;134;2
25;62;-248;-216;0;134;3
25;-25;-257;-229;2;102;3
60;-19;-249;-230;-6;53;3
5;59;-249;-207;-2;148;3
40;14;-255;-193;4;168;3
20;-13;-255;-175;0;187;3
19;38;-254;-206;7;163;3
22;82;-240;-236;9;82;3
15;77;-244;-238;8;80;3
14;84;-242;-237;8;82;3
14;85;-241;-236;9;84;3
14;83;-242;-236;9;84;3
14;83;-242;-237;9;84;3
12;78;-243;-236;9;86;3
14;80;-243;-236;9;86;3
14;80;-243;-236;9;86;3
13;81;-243;-236;9;85;3
12;81;-243;-236;10;85;3
12;81;-243;-236;10;85;3
12;81;-243;-236;9;86;3
12;81;-242;-236;9;85;3
12;81;-243;-236;9;85;3
12;81;-243;-236;9;85;3
12;81;-243;-236;9;85;3
12;80;-243;-236;10;84;3
12;81;-243;-236;9;85;3
12;80;-243;-236;10;85;3
12;80;-243;-236;10;85;3
12;81;-243;-236;9;85;3
12;81;-242;-236;9;85;3
12;81;-243;-236;9;85;3
12;81;-243;-236;10;85;3
12;81;-243;-236;10;85;3
13;85;-241;-236;9;85;3
13;84;-242;-236;9;85;3
13;84;-242;-236;9;85;3
13;84;-242;-236;9;85;3
13;86;-241;-236;9;85;3
13;84;-241;-236;9;85;3
12;84;-241;-236;9;85;3
13;85;-241;-236;9;85;3
13;84;-242;-236;9;85;3
13;84;-241;-236;10;85;3
13;84;-242;-236;9;85;3
13;85;-241;-236;9;85;3
13;84;-242;-236;9;85;3
12;85;-241;-236;9;85;3
12;84;-242;-236;9;85;3
13;84;-241;-236;9;85;3
12;85;-241;-236;9;85;3
12;85;-241;-236;9;85;3
13;84;-242;-236;9;85;3
13;84;-242;-236;9;85;3
13;84;-241;-236;9;85;3
13;84;-241;-236;9;85;3
12;85;-241;-236;9;85;3
12;84;-241;-236;9;85;3
13;85;-241;-236;9;85;3
13;86;-241;-236;9;85;3
13;87;-241;-236;9;86;4
8;62;-254;-241;9;60;4
160;-97;-143;-236;-88;14;4
185;-172;-2;-168;-45;-170;4
69;-155;203;119;41;-215;4
-18;-187;144;185;6;-168;4
-20;-173;188;205;-4;-138;4
21;-116;229;210;-7;-135;4
17;-122;229;216;-5;-124;4
18;-123;229;215;-5;-125;4
18;-122;229;214;-6;-126;4
17;-122;229;214;-6;-125;4
17;-122;229;214;-7;-126;4
17;-122;229;215;-6;-125;4
16;-121;229;214;-7;-125;4
17;-122;229;214;-6;-125;4
16;-122;229;214;-7;-125;4
17;-123;229;215;-6;-125;4
17;-122;229;215;-7;-125;4
17;-122;229;215;-6;-125;4
17;-123;229;214;-7;-125;4
17;-122;229;215;-7;-125;4
17;-123;229;215;-6;-125;4
17;-123;229;214;-7;-125;4
17;-124;229;214;-6;-125;4
17;-123;228;214;-7;-125;4
17;-123;228;215;-7;-125;4
16;-124;228;215;-6;-125;4
16;-123;228;215;-7;-125;4
16;-123;228;214;-7;-125;4
16;-124;228;215;-7;-125;4
16;-123;229;214;-7;-125;4
16;-124;228;214;-7;-125;4
16;-124;228;215;-6;-125;4
16;-124;228;214;-7;-125;4
16;-124;228;215;-7;-125;4
16;-123;229;214;-7;-125;4
16;-124;228;215;-7;-125;4
16;-123;228;215;-7;-125;4
16;-124;228;214;-7;-125;4
16;-124;228;214;-7;-125;4
16;-123;228;215;-7;-125;4
16;-124;228;215;-7;-124;4
16;-123;228;215;-7;-125;4
16;-124;228;214;-7;-125;4
29;-123;228;215;-7;-123;4
47;-125;223;219;-4;-118;4
30;-121;228;216;-5;-122;4
29;-120;229;216;-5;-123;4
23;-115;232;216;-6;-123;4
23;-116;231;216;-6;-123;4
24;-117;231;216;-5;-123;4
25;-117;231;216;-6;-123;4
25;-118;230;216;-6;-124;4
25;-118;231;216;-5;-123;4
24;-117;230;216;-6;-123;4
24;-117;231;216;-6;-123;4
24;-117;231;216;-6;-123;4
25;-117;231;216;-6;-123;4
24;-117;231;216;-6;-123;5
28;-119;231;216;-5;-122;5
35;-212;135;70;-11;-123;5
75;-196;101;-214;-125;6;5
115;-221;-29;88;41;-278;5
122;-216;-50;130;-167;-110;5
125;-218;-38;6;-32;-235;5
127;-217;-33;-2;15;-255;5
129;-216;-34;-25;24;-246;5
129;-217;-23;-13;19;-253;5
129;-216;-25;-23;25;-253;5
141;-211;-14;25;27;-250;5
132;-217;-14;13;34;-247;5
131;-217;-21;-13;20;-251;5
156;-181;64;31;48;-243;5
36;-103;238;104;28;-230;5
19;-112;235;170;-35;-181;5
18;-110;235;201;-21;-145;5
22;-104;237;205;-15;-140;5
21;-100;239;209;-12;-133;5
22;-99;240;211;-10;-130;5
23;-99;241;212;-9;-130;5
23;-98;240;212;-9;-130;5
23;-99;240;212;-9;-129;5
23;-98;241;212;-8;-129;5
24;-98;241;212;-9;-129;5
24;-98;241;212;-9;-129;5
24;-98;241;212;-9;-129;5
24;-98;241;212;-9;-129;5
24;-98;240;212;-8;-129;5
24;-98;240;213;-8;-129;5
27;-99;239;212;-8;-128;5
28;-100;239;213;-8;-128;5
28;-99;240;213;-7;-128;5
27;-98;240;213;-7;-128;5
27;-99;240;213;-7;-128;5
27;-98;240;213;-8;-128;5
27;-99;240;212;-8;-129;5
27;-99;240;213;-8;-128;5
27;-99;240;213;-8;-128;5
27;-98;240;213;-8;-128;5
27;-98;240;213;-8;-128;5
27;-98;240;213;-7;-128;5
26;-98;240;213;-8;-128;5
26;-99;240;213;-8;-128;5
27;-98;240;214;-8;-127;5
26;-98;240;213;-8;-127;5
26;-98;240;214;-7;-126;5
26;-98;240;213;-8;-127;5
26;-98;240;213;-7;-127;5
27;-98;240;213;-8;-127;5
27;-98;240;213;-8;-128;5
27;-98;240;213;-8;-127;5
27;-98;240;213;-7;-128;5
27;-98;240;213;-7;-128;5
27;-97;241;212;-7;-128;5
27;-98;241;212;-7;-128;5
27;-98;241;212;-7;-128;5
27;-98;240;213;-7;-128;5
177;-173;-69;-60;-15;-246;6
173;-164;-97;-146;1;-198;6
124;-161;148;142;61;-186;6
45;-198;134;205;82;-117;6
-13;-118;215;242;53;-58;6
-6;-188;172;239;41;-46;6
-9;-210;119;235;40;-57;6
-48;-190;159;241;37;-34;6
27;-164;191;240;41;-36;6
37;-176;183;242;41;-25;6
30;-161;198;241;42;-31;6
6;-124;229;227;35;99;6
-5;-121;229;247;17;31;6
-14;-118;230;247;19;17;6
-13;-118;230;246;20;16;6
