x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
6,78,-244,-244,37,46,1
3,80,-244,-245,37,47,1
4,79,-244,-245,36,47,1
1,79,-244,-245,37,47,1
1,79,-244,-245,37,46,1
1,78,-244,-245,37,47,1
0,79,-244,-245,37,47,1
1,80,-243,-245,37,47,1
3,79,-244,-245,36,47,1
5,77,-244,-245,37,47,1
2,81,-243,-245,36,47,1
3,80,-243,-244,36,47,1
2,82,-243,-245,37,47,1
5,79,-244,-244,37,46,1
5,79,-245,-245,37,47,1
1,83,-243,-245,37,47,1
2,84,-242,-245,36,47,1
6,83,-242,-245,37,47,1
7,82,-243,-245,37,47,1
6,82,-242,-244,37,47,1
5,81,-243,-245,36,47,1
5,82,-243,-245,36,47,1
5,81,-243,-245,36,47,1
4,82,-243,-245,37,47,1
4,80,-243,-245,37,47,1
3,81,-243,-244,37,47,1
6,81,-243,-244,36,47,1
7,80,-243,-245,37,47,1
6,82,-242,-245,37,47,1
6,83,-242,-245,37,47,1
7,83,-242,-244,37,47,1
6,82,-242,-245,36,47,1
6,82,-243,-245,37,47,1
6,82,-242,-245,37,47,1
7,83,-242,-244,37,47,1
6,82,-243,-245,37,47,1
6,82,-243,-245,37,47,1
6,81,-242,-245,37,47,1
4,84,-241,-245,37,47,1
6,83,-242,-244,36,47,1
7,83,-242,-245,37,47,1
5,81,-243,-245,37,47,1
2,81,-243,-245,37,47,1
5,82,-243,-244,37,47,1
6,83,-242,-245,37,47,1
4,82,-242,-245,37,47,1
6,83,-242,-245,37,46,1
5,83,-242,-244,36,46,2
6,83,-243,-245,37,46,2
6,82,-242,-245,37,46,2
5,82,-243,-244,36,46,2
5,82,-243,-244,37,45,2
6,83,-242,-245,37,46,2
5,62,-248,-244,36,52,2
67,36,-239,-248,35,1,2
60,35,-251,-245,30,-22,2
7,83,-242,-246,41,20,2
9,91,-238,-244,40,-22,2
9,72,-246,-247,37,15,2
7,77,-244,-247,37,13,2
6,79,-244,-247,37,12,2
9,80,-243,-247,37,12,2
8,83,-242,-247,37,12,2
7,83,-242,-247,37,12,2
6,81,-243,-247,37,12,2
5,82,-243,-247,37,11,2
5,82,-243,-247,37,11,2
5,81,-243,-247,37,11,2
6,81,-243,-247,37,10,2
4,82,-242,-247,37,11,2
4,85,-241,-247,37,11,2
3,85,-242,-247,37,11,2
2,84,-242,-247,37,11,2
3,84,-242,-247,37,11,2
3,84,-242,-247,37,11,2
2,83,-242,-247,37,10,2
3,84,-242,-247,37,10,2
2,85,-241,-247,37,11,2
2,83,-242,-247,37,10,2
2,84,-242,-247,37,11,2
5,86,-241,-247,37,11,2
2,84,-242,-247,37,10,2
3,85,-241,-247,37,10,2
4,85,-242,-247,37,10,2
4,84,-242,-247,37,10,2
4,85,-241,-247,37,10,2
3,85,-241,-247,37,10,2
2,84,-242,-247,37,10,2
3,84,-242,-247,37,10,2
4,86,-241,-247,37,10,2
4,86,-241,-247,37,10,2
3,85,-242,-247,37,9,2
3,85,-241,-247,37,10,2
4,87,-241,-247,37,10,2
4,85,-241,-247,37,9,2
5,87,-241,-247,37,9,2
5,85,-241,-247,37,9,2
5,85,-242,-247,37,9,2
7,83,-242,-247,37,9,2
7,83,-242,-247,37,10,2
5,83,-241,-247,37,10,2
6,84,-241,-247,37,9,2
2,83,-242,-247,37,9,2
2,86,-241,-247,37,9,2
2,86,-241,-247,37,9,2
2,85,-241,-247,37,10,2
3,81,-242,-247,37,9,3
5,80,-244,-249,31,-17,3
62,-31,-243,-188,4,-96,3
193,-137,-83,-233,30,-53,3
155,4,-212,-243,30,65,3
-25,65,-247,-242,32,63,3
5,84,-241,-245,41,21,3
-15,82,-241,-243,38,-36,3
-5,78,-248,-245,39,-10,3
-7,84,-242,-246,39,-6,3
-7,81,-242,-246,39,-7,3
-6,82,-242,-246,39,-8,3
-7,82,-242,-246,39,-8,3
-7,82,-242,-246,39,-8,3
-6,82,-242,-246,39,-8,3
-7,83,-241,-246,39,-8,3
-1,85,-241,-246,39,-8,3
-2,91,-238,-246,39,-9,3
-3,90,-239,-245,39,-9,3
-8,78,-243,-246,39,-8,3
-7,71,-246,-246,39,-5,3
-6,80,-243,-246,39,-5,3
-4,85,-239,-246,39,-5,3
-1,91,-238,-246,39,-5,3
-1,89,-239,-246,39,-5,3
0,89,-240,-246,39,-5,3
-1,89,-240,-246,39,-5,3
-2,89,-240,-246,39,-6,3
-3,87,-240,-246,39,-5,3
-3,87,-240,-246,39,-6,3
-2,88,-240,-246,39,-6,3
-1,89,-239,-246,39,-6,3
-1,89,-240,-246,39,-7,3
-1,88,-240,-246,39,-7,3
-2,87,-240,-246,39,-6,3
-2,88,-240,-245,39,-6,3
-2,88,-240,-246,39,-7,3
-2,88,-240,-246,39,-7,3
-2,88,-240,-246,39,-7,3
-2,87,-240,-246,39,-7,3
-3,87,-240,-246,39,-7,3
-3,88,-240,-246,39,-7,3
-3,88,-239,-245,39,-6,3
-3,89,-240,-246,39,-6,3
-4,88,-240,-245,39,-6,3
-4,88,-240,-246,39,-6,3
-3,88,-240,-246,39,-6,3
-2,89,-239,-246,39,-7,3
-3,89,-239,-246,39,-6,3
-4,90,-239,-245,39,-7,3
-4,90,-239,-246,39,-6,3
-4,90,-239,-245,39,-6,3
-4,90,-239,-246,39,-7,3
-3,89,-239,-246,39,-7,3
-4,90,-239,-246,39,-8,3
-5,88,-240,-246,39,-8,3
-4,88,-240,-246,39,-8,3
-3,89,-239,-245,39,-7,3
-4,89,-239,-246,39,-7,3
-4,89,-239,-246,39,-7,4
-3,88,-240,-246,39,-7,4
-3,90,-239,-246,39,-6,4
118,25,-231,-192,-7,-171,4
181,-174,15,-159,-78,-179,4
159,-191,-54,-105,-75,-218,4
120,-165,148,79,-51,-212,4
-3,-219,138,205,2,-135,4
5,-230,104,215,4,-121,4
-5,-227,112,243,17,34,4
-13,-244,71,244,27,25,4
10,-223,119,245,23,17,4
18,-224,117,245,21,15,4
18,-228,108,246,20,10,4
19,-228,108,246,20,6,4
19,-228,109,246,19,6,4
18,-230,103,246,21,4,4
19,-226,112,246,20,4,4
18,-228,109,246,20,3,4
18,-228,109,246,20,0,4
19,-226,113,246,20,0,4
19,-227,110,246,20,-2,4
19,-228,108,246,20,-2,4
19,-229,107,246,20,-6,4
19,-229,107,246,20,-7,4
19,-230,105,245,20,-7,4
19,-230,105,246,20,-4,4
18,-231,103,246,20,-2,4
18,-231,102,246,20,-2,4
18,-231,103,246,20,0,4
18,-230,103,246,20,0,4
18,-231,103,246,20,-1,4
18,-231,102,246,20,0,4
18,-231,101,246,20,0,4
18,-231,101,246,20,-1,4
18,-231,102,246,20,0,4
18,-232,101,246,20,0,4
18,-231,102,246,20,-1,4
18,-231,101,246,20,-1,4
18,-231,102,246,20,-3,4
18,-231,102,246,20,-3,4
18,-231,102,246,20,-2,4
18,-231,102,246,19,-2,4
18,-231,101,246,20,-2,4
18,-231,102,246,20,-2,4
18,-231,101,246,20,-4,4
18,-231,102,245,20,-2,4
18,-231,101,246,20,-2,4
18,-230,105,246,20,-2,4
17,-230,103,246,20,-2,4
18,-231,101,246,20,-2,4
18,-232,101,246,20,-2,4
18,-231,100,246,20,-1,4
18,-232,101,246,20,-2,4
18,-232,100,246,20,-3,4
18,-232,100,246,20,-2,4
18,-231,100,246,20,-2,4
18,-231,100,246,20,-3,4
18,-231,100,246,20,-2,4
18,-232,100,246,20,-2,5
18,-231,100,246,20,-2,5
18,-231,101,246,20,-3,5
18,-232,100,246,20,-3,5
18,-232,100,246,20,-2,5
27,-226,111,247,20,-12,5
57,-225,98,223,10,-41,5
-5,-233,94,245,21,-30,5
6,-220,127,243,16,48,5
13,-235,93,243,15,51,5
13,-235,93,245,16,35,5
13,-235,92,245,16,33,5
13,-234,93,245,16,31,5
13,-235,93,245,16,31,5
13,-235,92,245,16,30,5
13,-234,93,246,16,30,5
15,-234,95,245,16,30,5
16,-234,95,246,16,29,5
15,-233,97,246,16,28,5
16,-233,97,246,15,28,5
15,-234,95,246,16,26,5
15,-233,95,246,16,25,5
15,-233,95,245,16,24,5
14,-233,96,246,16,25,5
15,-233,95,246,16,23,5
19,-231,101,246,16,21,5
20,-232,100,246,16,21,5
18,-232,100,246,16,21,5
18,-232,98,246,16,19,5
18,-232,99,246,16,19,5
18,-232,98,246,16,17,5
18,-232,99,247,16,17,5
17,-232,98,246,16,17,5
17,-232,99,246,16,17,5
17,-232,98,246,16,17,5
17,-232,98,246,16,17,5
17,-232,98,246,16,17,5
17,-233,97,246,16,17,5
17,-232,98,246,16,18,5
17,-232,98,246,16,18,5
17,-233,97,246,16,18,5
17,-232,98,246,16,18,5
17,-232,99,246,16,18,5
18,-232,98,246,16,18,5
17,-233,98,247,16,18,5
17,-232,98,246,16,18,5
17,-233,98,246,16,18,5
17,-232,98,246,16,17,5
17,-232,97,246,16,18,5
17,-233,97,246,16,18,5
17,-233,98,246,16,18,5
17,-233,98,246,16,18,5
17,-233,97,246,16,17,5
17,-233,98,246,16,17,5
17,-233,97,246,16,17,5
17,-233,98,246,16,17,5
17,-233,97,246,16,17,5
17,-232,98,246,16,17,5
17,-232,98,246,16,17,5
17,-233,97,246,16,17,6
14,-232,100,255,16,0,6
33,-243,43,246,5,2,6
-58,-213,132,190,10,168,6
-86,-207,118,173,-9,172,6
-27,-219,121,203,2,143,6
-11,-231,100,197,2,163,6
-3,-238,83,206,4,149,6
-4,-228,108,210,3,145,6
