x_chest;y_chest;z_chest;x_ankle;y_ankle;z_ankle;position
18;19;-258;-249;6;26;1
17;17;-258;-249;7;26;1
18;17;-258;-249;7;26;1
19;16;-258;-249;7;26;1
19;16;-258;-249;7;26;1
18;16;-258;-249;7;26;1
18;19;-258;-249;7;24;1
18;20;-258;-249;7;24;1
16;18;-258;-249;7;23;1
12;11;-259;-249;6;25;1
9;16;-259;-249;7;26;1
17;11;-259;-249;7;24;1
13;16;-259;-250;6;24;1
17;14;-259;-249;7;24;1
16;17;-258;-249;7;24;1
15;17;-258;-249;7;23;1
16;17;-258;-249;6;24;1
15;18;-258;-249;7;24;1
15;17;-259;-249;7;24;1
14;17;-258;-249;7;24;1
15;16;-258;-249;7;24;1
14;17;-259;-249;7;24;1
15;16;-259;-249;7;25;1
13;16;-258;-249;7;24;1
14;16;-259;-249;7;25;1
15;17;-258;-249;7;24;1
13;14;-259;-249;7;24;1
14;15;-258;-249;7;24;1
12;17;-258;-249;7;24;1
14;16;-258;-249;7;24;1
13;16;-258;-249;7;24;1
14;15;-259;-249;7;24;1
13;16;-259;-249;7;24;1
13;16;-259;-249;7;24;1
19;17;-258;-249;6;24;1
15;16;-258;-249;7;24;1
14;15;-258;-249;7;24;1
13;16;-258;-249;7;24;1
14;15;-259;-249;7;24;1
13;15;-258;-249;7;24;1
14;15;-259;-249;7;24;1
12;15;-259;-249;7;24;1
13;17;-259;-249;6;24;1
15;16;-259;-249;6;24;1
12;16;-259;-249;6;24;1
13;15;-259;-249;6;24;1
14;16;-258;-249;7;24;2
13;17;-259;-249;7;25;2
22;0;-259;-247;-1;-23;2
44;-101;-232;-230;-10;-69;2
-10;-2;-263;-253;1;41;2
-20;0;-256;-244;11;-34;2
15;-51;-246;-243;16;-33;2
-11;-11;-257;-249;16;7;2
-15;-6;-258;-249;16;12;2
-14;-4;-258;-249;17;13;2
-11;-5;-257;-249;17;14;2
-8;-10;-257;-249;16;14;2
-8;-6;-258;-249;17;15;2
-8;-7;-258;-249;17;15;2
-11;-5;-258;-249;17;15;2
-10;-6;-258;-249;17;15;2
-10;-6;-258;-249;17;15;2
-10;-6;-258;-249;17;15;2
-13;-4;-258;-248;17;15;2
-11;-2;-258;-249;16;15;2
-13;-2;-258;-249;17;15;2
-13;-13;-257;-249;17;16;2
-13;5;-258;-249;17;16;2
-12;3;-258;-249;17;16;2
-13;0;-258;-249;17;16;2
-11;0;-258;-249;18;16;2
-11;0;-259;-249;17;17;2
-13;0;-258;-249;17;16;2
-13;0;-258;-249;17;16;2
-11;0;-258;-249;17;16;2
-12;-1;-258;-249;17;16;2
-12;0;-258;-249;17;16;2
-11;0;-258;-249;17;16;2
-12;0;-258;-249;17;16;2
-11;0;-258;-249;17;16;2
-11;0;-258;-249;17;17;2
-12;0;-258;-249;17;16;2
-11;-1;-258;-249;17;16;2
-10;-1;-258;-249;17;16;2
-11;-1;-258;-249;17;16;2
-11;-1;-258;-249;17;17;2
-11;0;-258;-248;17;17;2
-11;0;-258;-249;17;17;2
-11;-1;-258;-249;17;16;2
-11;0;-258;-249;17;17;2
-11;0;-258;-249;17;17;2
-11;-1;-258;-249;17;16;2
-11;3;-259;-249;18;15;2
-10;-1;-258;-249;17;17;2
-9;-6;-258;-249;17;17;2
-7;-2;-258;-249;17;17;2
-8;-3;-258;-249;17;17;2
-8;-2;-258;-249;17;17;2
-8;-1;-259;-249;17;17;2
-7;-3;-257;-249;17;17;2
-9;-1;-259;-249;17;17;2
-10;0;-258;-249;17;18;2
-8;-1;-258;-249;17;18;2
-7;-1;-258;-249;17;18;2
-8;0;-258;-249;17;18;3
-6;3;-259;-248;17;18;3
3;-8;-258;-216;-8;-119;3
-78;-85;-219;-236;-27;-85;3
13;-90;-238;-244;-8;-52;3
8;-148;-206;-247;10;-23;3
6;-127;-224;-247;15;-17;3
3;-29;-258;-247;16;-17;3
-8;8;-261;-248;15;-16;3
0;-25;-256;-248;15;-17;3
1;-25;-257;-248;15;-16;3
6;-27;-258;-247;15;-16;3
4;-32;-257;-248;15;-16;3
5;-30;-257;-248;15;-16;3
7;-25;-257;-248;16;-16;3
6;-25;-257;-248;16;-16;3
6;-31;-257;-248;16;-16;3
8;-33;-257;-248;16;-16;3
6;-30;-258;-248;16;-16;3
7;-22;-257;-247;16;-16;3
9;-21;-258;-248;16;-16;3
8;-19;-257;-247;16;-16;3
7;-18;-258;-248;16;-16;3
9;-20;-258;-248;17;-16;3
8;-19;-258;-248;16;-16;3
8;-19;-258;-248;16;-16;3
8;-18;-258;-248;17;-16;3
6;-19;-257;-248;16;-16;3
7;-13;-257;-247;16;-16;3
5;-11;-258;-248;16;-16;3
4;-15;-257;-248;16;-15;3
3;-17;-258;-248;16;-15;3
3;-16;-258;-248;16;-15;3
8;-18;-258;-248;16;-16;3
7;-18;-258;-248;16;-15;3
