x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
0,-6,-258,-186,4,185,1
0,-6,-257,-186,3,185,1
0,-7,-258,-186,3,185,1
-1,-4,-258,-186,4,185,1
0,-4,-258,-186,3,184,1
0,-5,-258,-186,3,185,1
0,-6,-257,-187,4,185,1
-1,-6,-258,-186,4,184,1
0,-6,-258,-186,3,184,1
0,-6,-258,-186,3,184,1
-1,-6,-258,-186,3,184,1
-1,-5,-258,-186,4,185,1
0,-5,-258,-186,4,184,1
0,-6,-258,-186,4,185,1
0,-6,-258,-186,3,185,1
0,-6,-259,-186,3,185,1
0,-6,-258,-186,4,185,1
0,-6,-258,-187,4,184,1
0,-6,-258,-186,3,184,1
0,-6,-258,-187,4,183,1
0,-7,-258,-188,4,183,1
0,-6,-258,-187,4,183,1
0,-6,-258,-187,4,183,1
0,-6,-259,-187,3,183,1
0,-6,-258,-187,3,183,1
0,-5,-258,-187,4,183,1
0,-6,-259,-187,4,183,1
0,-6,-258,-187,4,183,1
0,-6,-259,-187,4,183,1
0,-6,-258,-188,3,183,1
0,-6,-259,-187,4,183,1
0,-5,-258,-188,4,183,1
0,-5,-258,-188,4,183,1
0,-6,-258,-188,4,183,1
0,-6,-259,-188,4,182,1
0,-5,-258,-188,4,182,1
0,-5,-259,-188,4,182,1
0,-5,-259,-188,4,182,1
0,-5,-258,-188,4,181,1
0,-5,-258,-189,4,182,1
0,-5,-258,-188,4,182,1
0,-5,-258,-189,4,181,1
0,-4,-258,-189,3,181,1
0,-4,-259,-189,4,181,1
0,-4,-258,-189,4,181,1
0,-5,-259,-189,4,181,1
0,-5,-259,-189,4,181,1
0,-5,-259,-189,4,181,1
0,-5,-258,-189,4,181,1
0,-5,-259,-189,4,181,1
0,-5,-258,-189,4,181,2
0,-6,-259,-190,4,181,2
-12,-98,-233,-226,-32,89,2
8,-5,-259,-248,-21,51,2
1,3,-259,-244,0,68,2
1,3,-259,-238,0,89,2
