x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
-4,80,-243,-246,37,21,1
-4,82,-242,-247,37,22,1
-4,83,-242,-247,37,23,1
-4,85,-241,-246,38,23,1
-4,85,-242,-247,37,23,1
-3,85,-241,-247,38,24,1
-4,84,-242,-247,37,25,1
-4,85,-241,-246,37,26,1
-4,85,-241,-246,37,26,1
-5,89,-240,-246,38,27,1
-7,89,-239,-246,38,27,1
-5,90,-238,-246,37,27,1
-6,87,-240,-246,38,27,1
-6,88,-240,-246,38,28,1
-6,87,-240,-246,38,28,1
-5,88,-240,-246,38,27,1
-6,85,-241,-246,38,28,1
-6,87,-241,-246,37,27,1
-12,99,-233,-246,37,29,1
-9,95,-236,-246,38,29,1
-6,88,-239,-246,38,29,1
-6,91,-238,-246,38,29,1
-6,90,-239,-246,38,29,1
-6,92,-238,-246,38,29,1
-6,91,-239,-246,38,29,1
-6,91,-238,-246,38,29,1
-6,92,-238,-246,38,29,1
-6,91,-238,-246,38,28,1
-6,90,-239,-246,37,29,1
-6,91,-239,-246,37,28,1
-6,90,-239,-246,38,29,1
-6,90,-239,-246,38,29,1
-5,94,-237,-246,38,29,1
-5,95,-235,-246,38,29,1
-6,90,-238,-246,38,29,1
-6,93,-236,-246,38,29,1
-5,95,-236,-246,38,29,1
-6,91,-238,-246,38,29,1
-6,91,-238,-245,38,29,1
-9,90,-237,-246,38,29,1
-9,95,-236,-246,38,29,1
-6,95,-236,-246,38,29,1
-7,92,-237,-246,38,29,1
-8,97,-235,-246,38,29,1
-7,99,-234,-246,38,29,1
-7,93,-237,-246,38,29,1
-7,95,-236,-246,38,29,1
-7,92,-237,-246,38,29,2
-6,94,-236,-246,38,29,2
-6,98,-234,-246,38,29,2
-6,96,-235,-246,38,29,2
-6,93,-237,-246,38,29,2
-6,95,-236,-246,38,29,2
-25,68,-239,-235,28,25,2
-6,82,-247,-253,25,46,2
3,65,-246,-248,29,10,2
-7,92,-238,-246,33,34,2
0,94,-237,-244,25,36,2
-5,87,-239,-249,30,40,2
0,106,-230,-246,34,29,2
-4,106,-245,-246,27,-14,2
4,101,-233,-247,32,-1,2
-4,67,-247,-246,35,19,2
-5,92,-237,-245,36,28,2
2,92,-238,-242,38,58,2
