x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
-26,-23,-256,-194,25,167,1
-25,-20,-255,-194,25,168,1
-25,-23,-255,-194,25,168,1
-26,-21,-256,-194,25,169,1
-26,-23,-256,-194,25,168,1
-25,-21,-256,-193,25,169,1
-25,-21,-256,-193,25,169,1
-25,-23,-255,-194,25,169,1
-25,-21,-256,-193,25,169,1
-25,-22,-255,-194,25,168,1
-25,-19,-256,-193,25,169,1
-25,-23,-256,-193,25,169,1
-25,-20,-255,-193,25,169,1
-25,-24,-255,-193,25,169,1
-25,-20,-255,-193,25,169,1
-25,-19,-256,-193,25,169,1
-24,-22,-256,-193,25,169,1
-25,-22,-256,-193,25,170,1
-26,-20,-255,-193,25,169,1
-25,-23,-255,-193,25,169,1
-26,-20,-256,-193,25,169,1
-25,-21,-256,-193,25,169,1
-26,-23,-255,-193,25,169,1
-26,-20,-255,-193,25,169,1
-26,-24,-256,-193,25,169,1
-26,-21,-255,-193,25,169,1
-26,-18,-256,-193,25,169,1
-25,-22,-256,-193,25,170,1
-26,-22,-256,-193,25,169,1
-26,-21,-256,-193,25,169,1
-26,-21,-255,-192,25,169,1
-26,-20,-256,-193,25,169,1
-25,-19,-256,-193,25,169,1
-24,-18,-256,-193,25,170,1
-26,-21,-256,-193,25,169,1
-26,-22,-256,-192,25,170,1
-26,-22,-255,-193,25,169,1
-26,-23,-256,-192,25,170,1
-26,-22,-255,-193,25,169,1
-26,-20,-255,-193,25,170,1
-27,-23,-255,-193,25,170,1
-27,-21,-255,-193,25,169,1
-27,-24,-255,-193,25,170,1
-27,-21,-256,-192,25,170,1
-26,-25,-255,-193,25,170,1
-26,-20,-255,-193,25,170,1
-26,-23,-255,-193,25,170,2
-26,-23,-256,-192,24,171,2
-20,-60,-252,-235,13,109,2
-36,-50,-250,-227,20,106,2
-23,-15,-256,-211,25,140,2
-24,-45,-254,-213,26,138,2
-32,-48,-253,-213,26,137,2
-21,-3,-256,-213,28,136,2
-26,-8,-256,-209,28,144,2
-28,-9,-256,-209,28,145,2
-29,-10,-256,-208,28,145,2
-27,-10,-256,-215,29,133,2
-28,-18,-256,-215,31,134,2
-28,-17,-255,-214,30,136,2
-29,-19,-255,-214,30,136,2
-29,-17,-255,-213,30,136,2
-29,-17,-255,-213,30,136,2
-29,-19,-255,-213,31,137,2
-28,-16,-256,-213,30,137,2
-29,-18,-255,-213,31,137,2
-29,-15,-255,-213,30,137,2
-29,-20,-255,-213,30,137,2
-28,-15,-256,-213,30,137,2
-26,-12,-256,-213,30,137,2
-29,-15,-256,-213,30,137,2
-25,-14,-256,-212,31,137,2
-28,-17,-256,-213,30,137,2
-25,-13,-256,-213,30,138,2
-28,-18,-256,-212,30,138,2
-28,-13,-256,-212,30,138,2
-28,-17,-256,-212,30,138,2
-28,-13,-256,-212,30,138,2
-27,-11,-256,-212,30,138,2
-28,-17,-255,-212,30,138,2
-29,-14,-255,-212,30,138,2
-29,-16,-255,-212,30,138,2
-29,-19,-255,-212,30,138,2
-28,-13,-256,-212,30,138,2
-28,-16,-255,-212,30,138,2
-31,-17,-255,-213,30,138,2
-27,-14,-255,-213,30,138,2
-27,-14,-256,-212,30,138,2
-30,-20,-255,-213,30,138,2
-28,-14,-256,-212,30,138,2
-29,-13,-255,-212,30,139,2
-30,-20,-255,-212,30,138,2
-29,-18,-255,-212,30,139,2
-29,-15,-255,-212,30,138,2
-30,-19,-255,-212,30,138,2
-29,-17,-255,-212,30,139,2
-30,-17,-255,-212,30,139,2
-29,-18,-255,-212,30,139,2
