x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
18,96,-235,-245,7,56,1
18,95,-236,-246,7,56,1
18,95,-235,-245,7,56,1
19,95,-236,-246,7,57,1
19,96,-235,-246,7,56,1
20,96,-235,-246,7,57,1
19,95,-235,-246,7,57,1
20,95,-235,-246,7,57,1
20,94,-236,-246,7,57,1
19,95,-235,-246,6,57,1
20,93,-236,-245,7,57,1
20,93,-236,-245,7,58,1
18,93,-236,-245,7,57,1
18,93,-236,-246,7,57,1
19,93,-236,-246,6,56,1
19,93,-237,-246,6,57,1
20,93,-236,-246,7,56,1
19,92,-237,-246,7,56,1
19,93,-237,-246,7,56,1
20,92,-237,-246,7,56,1
19,93,-236,-246,6,54,1
19,92,-237,-246,6,54,1
19,92,-237,-246,7,54,1
19,92,-238,-246,7,54,1
19,92,-237,-246,6,53,1
19,92,-237,-246,6,54,1
19,92,-237,-246,7,54,1
19,92,-237,-246,7,54,1
19,92,-237,-246,7,54,1
19,92,-237,-246,7,54,1
19,91,-237,-246,7,54,1
19,92,-237,-246,7,54,1
19,91,-238,-246,7,53,1
19,91,-237,-246,6,54,1
19,92,-237,-246,6,53,1
19,91,-238,-246,6,53,1
19,92,-237,-246,7,53,1
19,91,-237,-246,6,53,1
19,92,-237,-246,6,53,1
19,92,-237,-246,6,53,1
19,91,-238,-246,6,53,1
19,92,-237,-246,7,53,1
19,91,-238,-246,7,53,1
19,92,-237,-247,6,53,1
19,91,-237,-246,6,54,1
19,91,-238,-246,6,53,1
19,91,-238,-246,6,53,1
19,91,-237,-246,6,53,1
19,91,-238,-246,6,53,1
19,92,-238,-247,6,53,1
19,91,-238,-246,6,53,1
19,91,-237,-246,6,53,1
19,91,-238,-246,7,53,1
19,90,-238,-246,7,53,1
19,90,-238,-246,6,53,1
19,90,-238,-246,7,53,1
19,91,-238,-246,6,53,2
18,91,-238,-246,6,53,2
17,91,-238,-246,6,55,2
57,76,-239,-240,6,84,2
24,76,-247,-222,-2,112,2
6,85,-241,-244,5,66,2
4,88,-240,-243,4,67,2
10,94,-236,-245,3,62,2
15,95,-235,-244,3,65,2
19,96,-233,-236,-4,86,2
12,92,-236,-234,9,108,2
4,95,-235,-246,7,55,2
9,97,-234,-248,4,40,2
14,98,-234,-247,6,52,2
14,97,-235,-247,6,50,2
13,96,-235,-247,6,49,2
15,96,-235,-247,6,49,2
13,96,-236,-247,6,49,2
14,95,-235,-247,6,49,2
14,96,-235,-247,6,48,2
13,95,-236,-247,6,48,2
13,96,-235,-247,6,48,2
13,95,-235,-247,6,48,2
16,96,-235,-247,6,48,2
14,95,-235,-247,6,48,2
14,95,-236,-247,6,49,2
15,96,-235,-247,6,49,2
13,95,-236,-247,6,48,2
14,95,-235,-247,7,51,2
15,96,-235,-246,7,52,2
14,94,-236,-246,7,53,2
14,96,-234,-246,6,52,2
12,95,-235,-246,7,53,2
13,96,-235,-246,7,53,2
13,96,-235,-246,7,53,2
12,95,-235,-246,7,53,2
14,96,-235,-246,6,53,2
13,96,-235,-246,7,53,2
13,95,-236,-246,7,53,2
14,96,-235,-246,6,53,2
13,95,-236,-246,7,53,2
14,96,-235,-246,7,53,2
13,95,-235,-246,7,53,2
13,96,-235,-246,7,54,2
