x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
-18,204,-131,116,-71,-210,1
-19,204,-132,116,-70,-210,1
-19,204,-132,115,-71,-210,1
-19,204,-131,115,-71,-210,1
-19,204,-131,115,-70,-211,1
-19,204,-131,115,-70,-210,1
-19,204,-131,115,-70,-211,1
-19,204,-131,115,-70,-210,1
-19,204,-131,116,-71,-210,1
-19,204,-131,115,-70,-210,1
-19,204,-131,115,-70,-211,1
-19,204,-131,115,-71,-211,1
30,-206,-145,-220,-122,-51,4
-6,-206,-149,-149,-169,-123,4
50,-235,-48,57,-67,-239,4
134,-190,101,108,-56,-217,4
53,-194,154,245,18,-32,4
33,-208,139,240,15,39,4
-34,-226,119,241,15,58,4
-37,-200,147,238,0,77,4
5,-251,46,245,-3,20,4
52,-230,88,242,-5,70,4
10,-222,123,236,-19,81,4
8,-206,150,232,-16,94,4
6,-207,148,233,-16,96,4
5,-205,150,233,-16,93,4
4,-205,151,233,-16,94,4
4,-205,151,233,-16,94,4
5,-204,153,233,-15,94,4
4,-205,152,232,-16,94,4
4,-205,151,233,-15,94,4
4,-206,150,233,-15,95,4
2,-207,148,232,-15,95,4
2,-207,149,233,-15,94,4
1,-206,149,232,-15,95,4
1,-207,148,233,-15,94,4
1,-207,149,233,-15,94,4
1,-207,148,233,-15,94,4
1,-207,148,233,-14,93,4
1,-206,150,233,-14,94,4
2,-207,149,233,-15,94,4
2,-206,151,233,-14,94,4
1,-206,149,233,-15,94,4
1,-206,149,233,-14,94,4
1,-206,150,233,-14,94,4
1,-206,150,233,-15,94,4
2,-205,151,233,-14,94,4
1,-206,150,233,-15,94,4
1,-206,150,233,-14,93,4
1,-206,150,233,-15,94,4
2,-206,150,233,-14,94,4
2,-206,150,233,-14,94,4
1,-206,150,233,-14,94,4
1,-206,151,233,-14,94,4
2,-206,150,233,-14,94,4
1,-205,151,233,-14,93,4
1,-206,150,232,-14,93,4
1,-206,150,233,-14,93,4
1,-205,151,234,-14,93,4
2,-205,149,233,-14,93,4
2,-206,150,233,-14,94,4
1,-206,151,233,-14,93,4
1,-205,150,233,-14,93,4
2,-205,152,233,-14,93,4
2,-205,151,233,-14,93,4
2,-205,152,233,-14,93,4
1,-205,151,233,-14,93,4
2,-205,151,233,-14,93,4
1,-205,151,233,-14,92,5
1,-205,151,233,-14,92,5
3,-205,154,237,-11,88,5
11,-202,144,240,21,-6,5
-27,-200,156,234,35,72,5
-9,-196,172,197,3,-102,5
-22,-226,109,240,14,-44,5
-33,-238,71,247,12,-1,5
16,-220,122,249,14,-9,5
13,-229,115,243,27,-52,5
4,-205,158,247,22,6,5
4,-208,147,230,13,-46,5
0,-205,152,238,9,-67,5
-4,-202,155,239,10,-59,5
-5,-201,156,240,9,-56,5
-5,-202,155,240,9,-55,5
-5,-200,158,240,9,-55,5
-2,-198,161,241,10,-47,5
-9,-201,156,241,11,-47,5
-14,-208,145,242,11,-46,5
-13,-209,143,242,11,-45,5
-15,-211,142,242,11,-45,5
-15,-210,142,242,10,-45,5
-16,-211,140,242,11,-46,5
-17,-211,140,242,11,-47,5
-17,-213,138,241,10,-47,5
-17,-211,140,242,11,-46,5
-17,-212,138,241,11,-47,5
-17,-212,140,242,11,-45,5
-17,-212,139,242,11,-45,5
-17,-212,138,242,11,-45,5
-18,-211,139,242,11,-45,5
-17,-212,138,242,10,-45,5
