x1,y1,z1,x2,y2,z2
55,190,149,3,-211,-135 
55,191,149,2,-211,-135 
56,191,149,2,-211,-135 
56,190,149,2,-212,-135 
57,190,149,2,-211,-135 
56,191,147,4,-211,-136 
56,191,148,3,-212,-135 
57,191,148,3,-211,-136 
57,191,148,3,-211,-136 
57,191,148,6,-199,-150 
50,158,137,-28,-231,-96 
125,160,143,-29,-233,-90 
157,137,130,-33,-236,-75 
187,-63,161,-16,-238,-67 
36,-102,195,-8,-241,-69 
56,-197,64,-11,-240,-84 
23,-227,-88,-22,-240,-72 
17,-204,-142,20,-244,-64 
2,-147,-207,33,-251,25 
15,-146,-208,18,-247,65 
79,-176,-161,10,-240,94 
130,-196,-66,14,-226,124 
119,-204,73,2,-212,151 
33,-141,214,-17,-191,180 
-2,-175,181,-21,-171,199 
-4,-240,-43,-24,-136,227 
-26,-214,-118,-16,-91,252 
-15,50,-254,-15,-41,263 
60,194,-134,13,18,264 
110,191,73,36,23,262 
216,13,-140,49,13,261 
180,-85,-158,86,29,248 
66,-229,-57,115,9,239 
191,-154,-4,146,-12,221 
163,-164,-84,183,-20,188 
112,-133,-183,215,-46,140 
184,-151,-26,233,-49,104 
99,-225,-10,244,-54,67 
99,-156,-159,246,-64,42 
132,-5,-215,236,-98,24 
123,31,-227,208,-146,-19 
208,-129,6,196,-155,-46 
36,-241,-57,166,-188,-39 
98,-214,-70,86,-235,-47 
67,-107,-232,-20,-243,-57 
6,-228,-93,-70,-229,-65 
143,-169,116,-134,-177,-121 
212,-87,-104,-162,-133,-138 
159,-55,-186,-179,-132,-112 
162,23,-194,-222,-114,-43 
176,-16,-175,-216,-130,25 
139,-142,-146,-150,-182,100 
156,-161,-116,-117,-168,162 
126,-209,-14,-72,-192,159 
13,-235,40,6,-210,152 
159,-139,-126,86,-201,140 
171,-80,-167,140,-181,124 
162,-80,-175,175,-144,129 
156,-79,-185,139,-125,185 
126,-85,-205,121,29,230 
67,-93,-227,62,128,213 
-34,-129,-213,-9,189,159 
114,-25,-222,0,209,127 
71,-38,-248,7,232,66 
0,-113,-229,-9,236,-2 
18,-89,-234,-23,213,-99 
19,-72,-247,-35,178,-157 
32,-65,-249,-39,136,-198 
13,-68,-247,-61,89,-223 
31,-65,-244,-108,151,-151 
68,-46,-243,-86,219,-27 
40,-45,-250,-114,171,137 
97,-37,-234,-122,107,198 
44,-41,-247,-98,12,246 
64,-63,-243,9,-70,259 
50,-95,-232,86,-51,247 
43,-129,-215,130,-128,192 
8,-149,-203,-49,-104,237 
18,-129,-219,-160,60,189 
20,-143,-205,-25,232,-9 
28,-132,-220,107,205,-60 
34,-133,-215,157,111,164 
36,-122,-223,130,-51,222 
46,-123,-217,30,-251,36 
135,-70,-201,-15,-220,-116 
8,-126,-220,-38,-108,-224 
-11,-131,-219,-98,-86,-214 
189,-26,-161,-65,-238,-40 
106,-54,-224,62,-231,91 
63,-84,-234,59,-229,108 
5,-139,-213,94,-135,204 
