x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
4,-252,-18,-1,239,-7,1
5,-252,-17,-1,239,-7,1
4,-252,-18,-1,239,-7,1
4,-252,-18,-1,239,-7,1
4,-252,-17,-1,239,-7,1
4,-252,-18,-1,239,-7,1
4,-252,-17,-1,239,-7,1
4,-252,-17,-3,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
5,-253,-16,-1,239,-7,1
3,-253,-16,1,240,-9,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-8,1
4,-252,-16,-1,239,-7,1
3,-253,-16,0,237,-7,1
4,-252,-16,-1,239,-7,1
3,-253,-16,-2,237,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,238,-7,1
4,-252,-16,0,239,-7,1
4,-252,-15,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,238,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,238,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
3,-252,-16,-1,238,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,238,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,238,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,1
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,238,-7,2
4,-252,-16,-1,238,-7,2
3,-252,-16,-1,239,-7,2
4,-250,-16,-1,239,-8,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,238,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,238,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
3,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
4,-252,-16,-1,239,-7,2
